Restaurant_Name,Locality,Ratings_out_of_5,Number of votes,Charges_for_two,Cuisine_List
Cakes N Bites,Hinjawadi,2.9,,200,['Street Food']
Sandwich Katta,Erandwane,3.2,,250,"['Fast Food', 'Sandwich', 'Beverages']"
I.K Caterer's Biryani,Kharadi,3.3,,300,['Biryani']
Shake O Holic,Wakad,3.9,,400,['Beverages']
Hotel Sudama Garden And Family Restaurant,Bhosari,,0,550,"['North Indian', 'Chinese', 'Malwani']"
Namaste - Indian Restaurant,Wanowrie Kondhwa Area,3.6,63,,"['North Indian', 'South Indian']"
Jadhavanche Thalipeeth,Bhosari,3.1,7,,['Maharashtrian']
Big Bang,Wakad,,0,500,"['Pizza', 'Fast Food']"
Sargar Biryanis,Sadashiv Peth,3.3,,800,"['Biryani', 'North Indian', 'Chinese']"
MM Biryani House,Wakad,2.9,15,,['Biryani']
Sarpanch Mala,Nigdi,2.9,,700,"['Chinese', 'North Indian', 'Seafood', 'Beverages']"
Hotel Mavala,Narhe,3.1,8,300,['North Indian']
Hotel Anand Bhuwan,Shukrawar Peth,3.3,,450,"['Maharashtrian', 'Malwani']"
Gavathi Restaurant,Wakad,3.2,5,350,['North Indian']
Sarang,FC Road,,0,550,"['North Indian', 'Street Food', 'Chinese']"
Red Chillies,Wagholi,3.5,,200,['Chinese']
Chai Nashto,KP and Kalyani,,0,,"['Maharashtrian', 'Gujarati']"
Tea Post,Baner,,0,300,['Cafe']
Jorden Biryani,Akurdi,,0,300,"['North Indian', 'Biryani']"
Kastakaar Wadi Family  Restaurant,Sinhgad Road,3.4,21,350,['Maharashtrian']
Food Paradise,Kothrud,3,,400,"['North Indian', 'Chinese']"
Pure Veg Divine,Karve Nagar,3.6,84,200,"['Chinese', 'Fast Food']"
Bengali Tadka,NIBM Road,3.6,20,,"['Bengali', 'Rolls', 'Biryani']"
Eat Em Up,Koregaon Park,3.3,40,450,"['Salad', 'Fast Food', 'South Indian', 'North Indian']"
Dakshin Bharat,Balewadi,3.3,,250,"['South Indian', 'North Indian']"
Jalsa Resto,Pimple Gurav,3.5,67,450,['Maharashtrian']
Shiv Dining Hall & Restaurant,Hinjawadi,3.4,,250,['North Indian']
Pappu Chaiwalla,Magarpatta,3.5,173,350,"['Street Food', 'Fast Food', 'North Indian', 'Beverages']"
Cream and Crush,Bibvewadi,3.2,7,200,['Cafe']
Doodle Cafe,Kothrud,3.4,73,250,"['Cafe', 'Fast Food']"
Swirl Station,Sinhgad Road,3.6,33,300,"['Desserts', 'Ice Cream']"
Egg Bite,Nigdi,2.9,,200,"['Street Food', 'Fast Food', 'Beverages']"
The Irani Cafe Restaurant,Viman Nagar,3.6,79,800,"['Iranian', 'Mughlai']"
Jugs And Mugs,Kharadi,3.3,40,500,"['Cafe', 'Chinese', 'Continental', 'North Indian']"
Big Belly Canteen,Viman Nagar,3.6,43,,['North Indian']
Khushboo Resto,Hinjawadi,2.9,83,700,['North Indian']
Hotel Jagaat Bhaari Kolhapuri,Sinhgad Road,3.3,25,200,['Maharashtrian']
Homefood Tiffin Services,Sadashiv Peth,,0,,['North Indian']
Flavours - The Veg Treat,Wakad,3.5,49,400,"['Fast Food', 'South Indian', 'North Indian']"
New Supreme Pavbhaji And Creamist Live Ice Cream Rolls,Wakad,3.3,10,400,"['Desserts', 'Street Food']"
Red Chilli Restaurant,Hadapsar,3.3,,750,"['North Indian', 'Chinese']"
Rankala Misal House Snacks Centre,Balewadi,3.6,54,150,"['Fast Food', 'Maharashtrian', 'Street Food']"
Big Cheese,Kothrud,3.5,60,,"['Fast Food', 'Pizza']"
Mithla Paratha & Thali House,Baner,3.3,,400,"['North Indian', 'Maharashtrian']"
Idli Sambar,B.T. Kawade Road,3.4,,300,"['South Indian', 'Chinese', 'North Indian']"
Foodies,Camp Area,2.9,161,400,"['Fast Food', 'Sandwich', 'Italian']"
Pokket Cafe,Kharadi,2.9,,500,['Cafe']
Hot Tadka Restaurant,Wakad,2.7,46,500,"['North Indian', 'South Indian', 'Chinese', 'Fast Food']"
Khau Gali,KP and Kalyani,2.9,16,,['Fast Food']
Urus Restaurant,Shivapur,3.7,55,600,"['Maharashtrian', 'North Indian', 'Mughlai']"
King's Biryani,Viman Nagar,2.7,34,300,['Biryani']
The Veg Culture,Aundh,3.8,248,1000,"['North Indian', 'Italian', 'Mexican']"
Capers Pizza,Magarpatta,3.2,208,500,"['Italian', 'Pizza']"
Hotel Aishwarya Family Restaurant & Bar,Chakan,3.1,,800,"['North Indian', 'Chinese']"
Hotel Alishan,Wadgaon Sheri,3.4,28,450,"['Chinese', 'North Indian']"
Between Bread,Sinhgad Road,3.8,219,500,"['American', 'Chinese', 'Italian']"
Rasgandha Pure Veg Restaurant,Dange Chowk,3.5,64,800,"['North Indian', 'Chinese', 'Italian', 'South Indian', 'Fast Food']"
NUDO Pizzeria Al Naturale,Kalyani Nagar,3.3,,600,"['Pizza', 'Italian']"
My Food Planet,Pimple Gurav,3.5,58,400,['North Indian']
Pick Me Up,Dhanori,3,,400,"['Fast Food', 'Beverages']"
Kathi Junction,Pimple Saudagar,3.4,90,250,"['Rolls', 'Fast Food']"
Hotel Patil,Pimple Gurav,3.2,,300,['Maharashtrian']
Twisted Tiffin,Ghorpadi,2.6,77,,"['Chinese', 'North Indian']"
Reddy South Indian Spicy Food Court,Dhankawadi,3.3,,,"['South Indian', 'Hyderabadi']"
The Theka,Pune-Solapur Road,3.3,,800,['North Indian']
Hungry Foodies,Pimpri,3.4,20,200,"['Fast Food', 'Burger', 'Pizza', 'Sandwich']"
Nomad's,Model Colony,3.5,99,300,['Fast Food']
Metro Cafe,Warje,3,,300,['Fast Food']
Punjabi Darbar Rasoi King,Hadapsar,3.4,,600,"['North Indian', 'Chinese', 'Biryani']"
Oasis Family Resto,Sinhgad Road,3.6,62,500,"['Chinese', 'North Indian']"
Zayka,Wakad,3.5,,400,"['Fast Food', 'Chinese']"
Kalpna Bhel,Sadashiv Peth,3.1,,100,['Street Food']
Redefined Tea,Magarpatta,3.5,,100,['Tea']
Redefined Tea,Magarpatta,3.5,,100,['Tea']
Indian Food Company,Kalyani Nagar,3.5,109,,"['North Indian', 'Maharashtrian']"
Hotel Shiv Paratha House,Deccan Gymkhana,3.7,,200,"['North Indian', 'Street Food']"
Zaika Biryani House,Nigdi,3.2,118,300,"['Biryani', 'North Indian']"
Desi Firangi,Bhosari,3.1,7,300,"['Fast Food', 'Street Food', 'North Indian']"
Hotel Jijau,Kothrud,3.3,,450,"['North Indian', 'Mughlai', 'Chinese']"
Sweet Brew,Model Colony,3.5,30,,['Fast Food']
Kalyani Bhel,Sinhgad Road,3.1,5,150,['Street Food']
Pita & Pizza,Hadapsar,3.8,100,500,"['Italian', 'Arabian', 'Fast Food']"
Hotel Aathwan Veg/Non-Veg Restaurant,Bhosari,,0,500,"['Maharashtrian', 'North Indian', 'Chinese', 'Seafood']"
99 Dishes,Magarpatta,3.3,196,700,['North Indian']
Sai Tirth Misal House,Vishrantwadi,3.3,,100,['Street Food']
Cafe Om Sai Pure Veg,Bavdhan,2.8,105,350,"['North Indian', 'Chinese', 'Fast Food', 'South Indian']"
Vateshwar Bhuvan,Shukrawar Peth,3.5,,100,['Street Food']
Shree Siddhivinayak Vada Pav Center,Pimple Gurav,3.5,,150,['Street Food']
SP's NonVeg,Hadapsar,2.9,,400,['Maharashtrian']
Rangda Punjab,Khadki,2.8,21,600,"['North Indian', 'Chinese']"
Khushboo Snacks,Kothrud,3.4,,400,"['Street Food', 'Maharashtrian']"
Shree Sharda,Vishrantwadi,,0,450,"['Chinese', 'North Indian']"
Kalpana,Parvati,3.3,,250,"['Chinese', 'Street Food']"
Hotel Rajmudra,Kharadi,,0,400,"['North Indian', 'Chinese']"
Chai It,Baner,3.7,60,500,"['Fast Food', 'Beverages']"
Hotel Suvarna,B.T. Kawade Road,3.2,,500,"['Chinese', 'North Indian']"
Minus 301 Degrees F,Baner,3.8,83,250,"['Ice Cream', 'Desserts']"
Shama Bhosle's Lazeez Biryani,Sadashiv Peth,,0,400,"['Biryani', 'Maharashtrian']"
Gandharv Resto Bar,Hadapsar,,0,1000,"['North Indian', 'Chinese']"
Mayuresh Dining Hall,Kothrud,3.4,,400,"['Gujarati', 'North Indian']"
Sangram,Hadapsar,2.9,,900,"['Chinese', 'North Indian']"
Hotel New Vishwavilas,Chinchwad,3.4,18,800,"['North Indian', 'Chinese', 'Biryani']"
Hotel Rachana,Shivaji Nagar,,0,800,"['North Indian', 'Chinese']"
El Cafe Amigos,Dhankawadi,3.6,291,400,['Fast Food']
Hindustan Bakery,Karve Nagar,3.3,,100,['Bakery']
Shree Maharaja,Wanowrie,3.9,,200,['South Indian']
Night Cafe,Pimple Saudagar,3.4,43,,"['Cafe', 'Fast Food', 'Burger', 'Sandwich', 'Desserts', 'Beverages']"
Malwani Thaat,Lonavala,3.7,,550,"['North Indian', 'Malwani', 'Chinese']"
Avenue Restaurant and Bar,FC Road,3.2,,1500,"['North Indian', 'Chinese']"
Paramount Ice Cream,Baner,4.1,349,200,"['Ice Cream', 'Beverages']"
The Veg Eatarian,Satara Road,3.6,37,1000,"['North Indian', 'Italian', 'Continental']"
Surya Family Restaurant,Bhosari,3.3,61,1000,"['North Indian', 'Mughlai', 'Chinese', 'Seafood', 'Italian']"
Cafe Bollywood,Chinchwad,2.4,27,300,"['Fast Food', 'Chinese', 'South Indian']"
S.L.J. Bangalore Iyangar's Bakery,Pimple Saudagar,3.8,,300,"['Bakery', 'Desserts', 'Fast Food']"
Green Lounge,Pashan,3.7,41,800,"['North Indian', 'Chinese', 'Seafood', 'Mughlai']"
Raiba,Rasta Peth,3.4,,400,"['Maharashtrian', 'North Indian', 'Biryani']"
Bhavnagari Sweets,Rasta Peth,3.3,,100,['Mithai']
Gourmade With Love,Camp Area,3.6,46,,['Healthy Food']
Celebration - Mercure,Lavasa,3.9,177,1700,"['North Indian', 'Chinese', 'Continental']"
Model Café,Model Colony,2.6,93,500,"['Cafe', 'Italian', 'Fast Food']"
Mags Sports Lounge,Baner,3.5,17,1000,"['North Indian', 'Chinese', 'Thai']"
Tapri,Lavale,3.3,57,300,"['North Indian', 'Chinese', 'Fast Food']"
Hotel Sonam,Hinjawadi,3.6,54,450,"['South Indian', 'Fast Food', 'North Indian']"
Srushti,Satara Road,,0,600,"['North Indian', 'Chinese']"
Sugran Swayampakghar,Bibvewadi,3.4,,200,['Maharashtrian']
Katraj Junction,Katraj,3.1,15,1000,"['North Indian', 'Chinese']"
MEAL 40,Wadgaon Sheri,3.5,448,700,"['North Indian', 'Chinese', 'Fast Food', 'Biryani', 'Beverages']"
Shaurya Hotel,Bhosari,,0,400,"['North Indian', 'Chinese']"
Amrale Misal,Mulshi Road,3.4,,100,"['Fast Food', 'Maharashtrian']"
Red Chillies Resto Bar,Camp Area,3.3,14,700,"['North Indian', 'Chinese']"
Tatyo,Deccan Gymkhana,3.3,27,200,"['Street Food', 'Maharashtrian', 'South Indian']"
Hotel Shree B,Nigdi,3.3,15,1000,"['North Indian', 'South Indian']"
Barbeque Garage,Viman Nagar,3.4,143,400,"['North Indian', 'Chinese', 'BBQ']"
Portico Family Restaurant,Chinchwad,3.5,,700,"['North Indian', 'Chinese', 'Seafood', 'South Indian']"
Hotel Sawai Sarja,Pune-Solapur Road,,0,400,"['North Indian', 'Chinese']"
House of Hungers,Bhosari,3.2,36,350,['Fast Food']
Shree Radhakrishna,Pimpri,3.5,146,600,"['North Indian', 'Fast Food', 'Chinese', 'Ice Cream', 'Beverages']"
Smoky Sports Lounge,Akurdi,,0,1300,"['North Indian', 'Chinese']"
Taste Destination,Aundh,3.4,185,800,"['North Indian', 'Chinese', 'Maharashtrian']"
Dilli 6 se MH 12,Hadapsar,3.3,58,300,['North Indian']
Radhakrishna Veg Non-Veg,Hadapsar,3.2,,500,['North Indian']
Go Dabbas,SB Road - Aundh,3.5,28,,['North Indian']
Bakes By RJ,Baner,3.5,12,400,['Bakery']
Duchess,Lonavala,3.3,,1700,"['American', 'North Indian', 'Italian', 'Chinese']"
Prathamesh Hotel,Ravet,3.5,483,500,"['North Indian', 'Chinese', 'Maharashtrian']"
Pizza Point,Hadapsar,3.3,,350,"['Pizza', 'Fast Food']"
The Dark Horse,Koregaon Park,3.5,67,1400,"['North Indian', 'Italian']"
Tejas Dhaba,Lonavala,3,,900,"['North Indian', 'Chinese', 'Mughlai', 'Seafood', 'Desserts', 'Beverages']"
Mantraa,Wakad,2.7,,1000,"['North Indian', 'Chinese']"
Suraj Dhaba,Old Mumbai-Pune Highway,3.2,5,600,"['North Indian', 'Chinese', 'Seafood']"
Dhaba Collage,Lonavala,3.6,,900,"['North Indian', 'Chinese', 'Mughlai']"
Jai Malhar Dhaba,Old Mumbai-Pune Highway,3.1,,600,"['North Indian', 'Chinese']"
Hotel Rajdhani,Wagholi,3.2,56,500,"['North Indian', 'Chinese']"
Hotel Ranjatra,Wagholi,3.1,5,250,['North Indian']
Tasty Bites,JM Road,3,5,250,"['Maharashtrian', 'Fast Food']"
Metro Cafe,Katraj,3.7,75,300,"['Fast Food', 'Sandwich']"
Cookie Czar,Baner,,0,100,['Bakery']
Anjali Tiffin Services,Wanowrie Kondhwa Area,3.2,,,['Maharashtrian']
Kalash,Kondhwa,3.5,88,600,"['North Indian', 'Chinese', 'South Indian', 'Sandwich', 'Beverages']"
Ganesh Bhawan,B.T. Kawade Road,3.4,,100,"['Mithai', 'Street Food']"
Meets Place Snacks and Coffee Bar,Wakad,2.7,,150,"['Street Food', 'Fast Food', 'Beverages']"
A Loaf Story,Nigdi,3.8,98,400,"['Cafe', 'Pizza', 'Fast Food', 'Sandwich', 'Beverages']"
Royal Court,Dhanori,3.1,,400,"['Chinese', 'North Indian']"
Royal Court,Dhanori,3.1,,400,"['Chinese', 'North Indian']"
Lai Bhari Kolhapuri,Sinhgad Road,3.1,38,350,"['Chinese', 'North Indian']"
Hotel Nisarg,Pimpri,3.1,,500,"['North Indian', 'Maharashtrian']"
Sohail Machhli Lunch Home,Lonavala,3.6,,700,"['Chinese', 'Seafood', 'North Indian']"
Grab A Bowl,Viman Nagar,3.2,184,,"['Bengali', 'Burger', 'American', 'Pizza', 'Goan', 'North Indian', 'Salad', 'Asian']"
Pakwan Sweets And Namkeen,Pimple Saudagar,3.8,60,100,['Mithai']
The Bake House,Kothrud Area,,0,300,"['Bakery', 'Desserts']"
Naivedya Restaurant,Shivapur,3.1,,400,"['Gujarati', 'North Indian']"
Candle Hut,Mundhwa,3.3,57,1200,"['North Indian', 'Chinese', 'Continental']"
Himalaya Momo,KP and Kalyani,3.9,,100,"['Chinese', 'Momos']"
Darjeeling Momo's and Chinese,Mundhwa,3.4,,400,"['Chinese', 'North Indian']"
Tarriii Misal House,Pimpri,3.8,169,150,['Street Food']
Swaraj,Hinjawadi,3.3,21,200,"['Fast Food', 'Beverages']"
Chai Shai,Hinjawadi,3.4,,200,"['Fast Food', 'Beverages']"
Vandana,Hadapsar,2.9,109,450,"['Chinese', 'South Indian', 'Street Food', 'North Indian']"
Hotel Famous,Pimpri,3.2,8,,"['Chinese', 'North Indian']"
Punjabi Darbar,Hadapsar,2.9,94,550,"['North Indian', 'Chinese', 'Mughlai']"
Rohit Coffee Corner,Sadashiv Peth,4,60,150,['Beverages']
Cafe with a Twist,NIBM Road,3.6,64,550,"['Chinese', 'Fast Food']"
V Cafe And Restaurant,Sinhgad Road,3.4,335,800,"['North Indian', 'Chinese', 'Thai', 'Sandwich']"
Midnight Mario,KP and Kalyani,3.7,267,,"['Continental', 'Italian', 'Pizza', 'North Indian']"
Kareems,Aundh,2.8,106,750,"['North Indian', 'Mughlai']"
Food 24x7,Magarpatta,2.5,100,,"['North Indian', 'Biryani', 'Chinese', 'Fast Food']"
Urbanspiice,Old Mumbai-Pune Highway,3.2,62,800,"['North Indian', 'Chinese', 'Kebab']"
Madhava's,Chinchwad,3.3,,350,"['Fast Food', 'Street Food', 'Desserts']"
New Tulsi Veg-Idli Corner,Chandan Nagar,2.7,,500,"['Chinese', 'North Indian', 'South Indian']"
Spice,Nigdi,3.6,55,350,"['Fast Food', 'Burger', 'Healthy Food']"
Feast Multicuisine Restaurant -Zip By Spree Spine Hotel,Hinjawadi,3.2,,700,"['Continental', 'North Indian', 'Chinese']"
Shivam Bhel,Hadapsar,3.4,22,200,"['Fast Food', 'Desserts']"
M Pizza,Kothrud,3.3,23,500,['Pizza']
Mansi Coffee,Rasta Peth,,0,100,"['Desserts', 'Beverages']"
Ayyappa Dosa Centre,Pimpri,3.2,,150,['South Indian']
Le Cheezy,Kothrud,3.2,90,500,"['Pizza', 'Fast Food', 'Beverages']"
Hotel Nayan,Pune-Solapur Road,,0,400,"['North Indian', 'Chinese', 'Malwani']"
Gokool,Camp Area,3.7,79,600,"['Street Food', 'Fast Food', 'North Indian', 'Chinese']"
Hotel Ratna,Pune University,3.8,208,500,"['North Indian', 'Chinese']"
Sarathi Veg Restaurant,Erandwane,2.7,,400,"['North Indian', 'Chinese', 'South Indian']"
Kerala Snacks Centre,Wanowrie,3.2,,200,"['Kerala', 'North Indian']"
Anand Bhuvan,Khadki,3.7,24,100,['Fast Food']
Sonali Restaurant,Bhosari,2.9,,1000,"['Maharashtrian', 'North Indian']"
Hotel Rajhans Retreat,Mulshi Road,,0,400,"['North Indian', 'Chinese']"
Sri Krishna Hotel,Camp Area,3,,100,['Street Food']
Hotel Harsha,Dange Chowk,3.1,,600,"['North Indian', 'Chinese']"
Kadhai,Aundh,3.8,455,250,"['South Indian', 'Fast Food', 'Mithai']"
Nisarg Veg,Sinhgad Road,3,77,500,"['North Indian', 'Chinese', 'Fast Food']"
Nisarg Veg,Sinhgad Road,3,77,500,"['North Indian', 'Chinese', 'Fast Food']"
Trimurti Pride,Katraj,3.4,,700,"['North Indian', 'Chinese', 'Biryani']"
Holiday Cottage Inn,Khadakwasla,3,,500,"['North Indian', 'Chinese']"
Tapasya,Sadashiv Peth,3.7,72,450,"['North Indian', 'South Indian', 'Fast Food', 'Street Food']"
Yuvraj Garden Restaurant,Bhosari,,0,1000,"['North Indian', 'Chinese']"
Kaware Cold Drinks,Budhwar Peth,3.9,103,300,"['Ice Cream', 'Beverages']"
Hotel Atithi Pure Veg,Bhosari,3,,550,"['North Indian', 'Chinese', 'Biryani']"
High Point Bar & Restaurant,Lonavala,3.6,,1000,['Finger Food']
Hotel Sai Restaurant,Dhanori,3.3,33,450,"['North Indian', 'Chinese', 'South Indian']"
Kamat's Green House,Lonavala,3.5,123,400,"['North Indian', 'South Indian', 'Chinese', 'Fast Food']"
Dharwadi Mishra Pedha,Sadashiv Peth,3.6,,250,"['Mithai', 'Street Food']"
Brugge,Dhole Patil Road,4.1,116,700,"['Bakery', 'Desserts', 'Fast Food']"
Vasant Family Resto Bar,Rasta Peth,3.6,54,1200,"['Chinese', 'North Indian', 'Seafood']"
Taipan's Dhaba,Camp Area,3.1,4,500,"['North Indian', 'Fast Food', 'Chinese']"
Madhuban Restaurant & Bar,Bhosari,3.4,27,800,"['North Indian', 'Chinese']"
Fantasy Juice Bar & Snacks,Bund Garden Road,3.9,80,250,"['Beverages', 'Fast Food']"
Uncle Kitchen,Camp Area,3.7,59,650,"['North Indian', 'Chinese', 'Street Food', 'Beverages']"
Milestone 09,Pune-Solapur Road,3.4,19,650,"['North Indian', 'Chinese', 'Fast Food']"
Bholenath Garden & Dhaba,Old Mumbai-Pune Highway,3.2,,700,"['North Indian', 'Chinese', 'Kebab']"
Hotel Prathamesh,Shivapur,3.1,,500,"['North Indian', 'Maharashtrian']"
Ganesh Bhel,Kothrud,3.5,,200,"['Fast Food', 'Street Food']"
Buninda,Mulshi Road,3.3,,700,"['North Indian', 'Chinese', 'Mughlai']"
Kwality Wall's Swirl's,Viman Nagar,2.5,32,200,"['Ice Cream', 'Desserts']"
Madhur Family Restaurant,Wakad,3.2,,700,"['Chinese', 'North Indian', 'Mughlai', 'Malwani', 'Biryani']"
Hotel Srushti,Pimple Gurav,3.2,24,650,"['North Indian', 'Mughlai', 'Chinese', 'Seafood']"
Cafe Brookside,Viman Nagar,2.7,61,1100,"['North Indian', 'Mughlai', 'Chinese', 'Continental']"
Spice Restaurant - Hotel Park Ornate,Yerawada,3.4,18,1000,"['North Indian', 'Chinese', 'Continental']"
The Village,Pimpri,3.7,186,500,"['North Indian', 'Chinese', 'Mughlai']"
Kamakshi Hotel,Chinchwad,3.6,78,600,"['South Indian', 'North Indian', 'Chinese']"
Chandani,Karve Nagar,3.3,70,650,"['North Indian', 'Chinese']"
Sunny Farms,Salunkhe Vihar Road,3.3,38,400,"['North Indian', 'Chinese']"
Nirman Family Restaurant & Bar,Camp Area,3.1,,850,"['North Indian', 'Chinese']"
Hotel Anand,Bavdhan,3.5,59,700,"['North Indian', 'Chinese']"
Sanika,Pimpri,3.5,56,1600,"['North Indian', 'Chinese', 'Fast Food', 'Seafood', 'Mughlai']"
Woodland's Samudra,Satara Road,2.8,,1100,"['Seafood', 'Maharashtrian', 'Mangalorean', 'North Indian', 'Chinese']"
Dulari Garden,Rasta Peth,3.4,,450,"['North Indian', 'Chinese', 'Fast Food']"
Sai Palace,Kothrud,3.2,26,800,"['Chinese', 'North Indian', 'Seafood']"
Log House,Baner,2.6,47,700,"['North Indian', 'Chinese', 'Street Food', 'Fast Food', 'Seafood', 'South Indian', 'Beverages']"
Hotel Meghraj,Hadapsar,3.5,62,1000,"['North Indian', 'Chinese', 'Seafood', 'Kebab', 'Mughlai']"
Charu's,Baner,3.4,,600,"['North Indian', 'Chinese']"
Rice & Roti,Dhole Patil Road,2.9,10,600,"['North Indian', 'Chinese', 'Continental']"
ShoCkolaah,Yerawada,3.6,125,200,"['Desserts', 'Bakery']"
Sheetal Lunch Home and Bar,Pimpri,2.9,,600,"['North Indian', 'Chinese']"
The Mint Leaf,Hinjawadi,3.2,312,450,"['North Indian', 'Chinese']"
Shree Inn,Kalyani Nagar,3.5,48,400,"['South Indian', 'North Indian']"
Shree Inn,Kalyani Nagar,3.5,48,400,"['South Indian', 'North Indian']"
Alaknanda's The Cake Shop,Pimple Saudagar,2.8,,300,['Bakery']
La Boulangere,Lonavala,3.8,71,500,"['Cafe', 'Desserts']"
Malini Family Restaurant & Bar,Hadapsar,2.9,32,1000,"['Seafood', 'North Indian', 'Chinese']"
Saad Bakery,Pimple Gurav,3.2,,300,['Bakery']
Hotel R R Restaurant & Bar,Pimpri,2.8,,800,"['North Indian', 'Chinese', 'Mughlai', 'Maharashtrian']"
Samruddhi Family Restaurant,Balewadi,2.7,,500,"['North Indian', 'Chinese', 'Mughlai']"
Samrat Dum Biryani & Tandoor,Bavdhan,3.1,60,500,"['North Indian', 'Biryani']"
Cafe Cool,Nigdi,3.5,83,350,"['Cafe', 'Fast Food', 'Beverages']"
Mantra Family Restaurant,Sinhgad Road,3.5,,600,"['North Indian', 'Chinese']"
Soham Dining Hall & Food Zone,JM Road,3.7,76,300,"['North Indian', 'Maharashtrian']"
Tasty Corner,Bund Garden Road,3.5,62,300,['Fast Food']
Pratik Biryani House,Karve Nagar,3.5,,400,['Biryani']
Alfresco Beyond the Eatery - Four Points by Sheraton,Viman Nagar,3.7,25,1500,"['European', 'North Indian', 'Mediterranean', 'Italian']"
Poolside Cafe,Viman Nagar,3.2,,1100,"['North Indian', 'Mughlai', 'Chinese', 'Continental']"
Bhajan Singh Da Dhaba,Talegaon,2.5,289,1500,"['North Indian', 'Maharashtrian', 'Chinese']"
Malwani Dayz,Hadapsar,2.9,35,600,"['North Indian', 'Chinese', 'Malwani']"
Hotel Aishwarya,Chinchwad,2.7,49,850,"['North Indian', 'Chinese', 'Biryani', 'Malwani', 'Mughlai', 'Kebab']"
Curley's,Mundhwa,3.2,21,700,"['Chinese', 'North Indian']"
Kahwa Cafe,Kothrud,2.6,80,500,"['Cafe', 'Fast Food']"
Ishaan,Magarpatta,3.4,195,500,"['North Indian', 'Fast Food', 'Beverages', 'Juices']"
Tasty Tongues Chaats,Bavdhan,3.6,472,500,"['North Indian', 'Street Food', 'Chinese', 'Fast Food']"
Palkhi Restaurant,Kothrud,2.6,23,1000,"['North Indian', 'Chinese']"
Athavan,Dange Chowk,3.1,11,650,"['North Indian', 'Chinese']"
Blinque - Parc Estique,Viman Nagar,3.4,35,2200,['Finger Food']
HAS Juice Bar,Aundh,3.3,,300,"['Juices', 'Fast Food']"
Cookie Man,Viman Nagar,3.8,,250,"['Bakery', 'Desserts']"
Hotel Sahara,Wakad,2.8,,600,"['North Indian', 'Chinese']"
Sai Sakshi,Akurdi,3.2,,350,['Chinese']
Biryani House,Akurdi,3,,300,['Biryani']
Real Aroma Pot Biryani,Wadgaon Sheri,2.9,62,,['Biryani']
Gholap Biryani's,Shivapur,3.3,,500,"['Maharashtrian', 'Biryani']"
Fruzo,Pimpri,,0,200,"['Juices', 'Fast Food']"
Saffron Resto Bar,Wakad,2.8,,1300,"['South Indian', 'North Indian', 'Chinese', 'Continental']"
Hotel Black & White Family Restaurant,Lohegaon,,0,600,"['Chinese', 'North Indian']"
The Gabbar's Cafe,Pimple Saudagar,3.7,91,400,"['Fast Food', 'Beverages']"
Hotel Chandrasi,Pimple Gurav,2.9,,650,"['North Indian', 'Chinese']"
Lanterns,FC Road,3.7,341,450,"['North Indian', 'Fast Food']"
Kulfi Story,Wakad,3.7,107,200,"['Ice Cream', 'Desserts']"
You & Me Cafe,Ravet,3.3,,300,['Cafe']
Meal Mafia,Viman Nagar,3.7,45,,"['North Indian', 'Chinese', 'Fast Food']"
Lassi Wale,Pimple Saudagar,3.4,199,,"['Beverages', 'Fast Food']"
Hide Out Lounge & Cafe,Dhanori,3.4,,1200,"['Chinese', 'Italian', 'North Indian']"
Zakir's Biryani,Model Colony,2.9,162,350,"['Biryani', 'Mughlai']"
Cafe Momos,KP and Kalyani,0,0,,"['Momos', 'Beverages', 'Fast Food']"
Cafe Momos,KP and Kalyani,0,0,,"['Momos', 'Beverages', 'Fast Food']"
Rasoi Pure Veg,Sinhgad Road,0,0,,"['Rajasthani', 'Maharashtrian']"
Greedy's Cafe,Sinhgad Road,3.6,41,400,"['Fast Food', 'Street Food']"
Oceanus - The Corinthians,NIBM Road,3.5,88,1800,['Cafe']
Jamshed Biryani,Senapati Bapat Road,3.5,72,350,"['Biryani', 'Fast Food', 'Chinese']"
Cafe High Score FC,Kothrud,3.4,21,350,"['Fast Food', 'Chinese', 'Beverages']"
Cakelets Cake & Cafe,Bhosari,,0,500,"['Desserts', 'Fast Food', 'Beverages']"
Hotel Maharaja,Pimpri,0,0,300,"['Fast Food', 'Maharashtrian']"
Hotel Niwara,Hadapsar,2.9,,350,"['North Indian', 'Chinese']"
Hyderabad Biryani Paradise,Hadapsar,,0,500,"['Biryani', 'Chinese', 'North Indian']"
Momos And Bites,Hadapsar,,0,,"['Momos', 'Fast Food', 'Street Food']"
Tasty Hut,Kothrud,,0,250,"['Fast Food', 'Sandwich']"
Crown Cafe,Kondhwa,3.3,,150,"['Street Food', 'Fast Food']"
Misal Darbar -Samshlok Foods,Pimpri,3.1,,150,['Maharashtrian']
Landmark Restaurant,NIBM Road,3.1,,450,"['North Indian', 'Kebab', 'Chinese']"
Ashwamedh,Shaniwar Peth,3.2,17,350,"['North Indian', 'South Indian']"
Trupti Meals,Chinchwad,3.1,22,400,"['North Indian', 'Chinese']"
Poona Biryani,Sinhgad Road,3.4,26,300,['Biryani']
Suaashi Restaurant,Pimple Gurav,3.5,,650,"['North Indian', 'Chinese']"
Cake & Cream,Pimple Saudagar,3.6,39,400,['Bakery']
Shree Kala Aaba Misalwale,Dhankawadi,3.4,,100,"['Street Food', 'Mithai']"
Shanti Restaurant,Hadapsar,3,,600,"['North Indian', 'Chinese']"
