Restaurant_Name,Locality,Ratings_out_of_5,Number of votes,Charges_for_two,Cuisine_List
Mainland China,Senapati Bapat Road,4.4,1297,1800,"['Chinese', 'Asian', 'Sushi', 'Momos', 'Japanese', 'Thai']"
Ahilyadevi's Thali,Katraj,4.5,671,1200,['Maharashtrian']
The French Window Patisserie,Koregaon Park,4.6,1528,600,"['Cafe', 'Desserts', 'French', 'Bakery', 'European']"
BMG - Unplugged,Hadapsar,4.3,2283,1500,"['Continental', 'North Indian', 'Italian', 'Chinese']"
Yeti and the Monk,Khadki,4.4,,500,"['Tibetan', 'Vietnamese']"
Hotel Shreyas,Deccan Gymkhana,4,943,500,"['Maharashtrian', 'Fast Food', 'Beverages']"
Rubabdaar,Baner,4.4,,1400,"['North Indian', 'Mughlai', 'Chinese']"
Hakuna Matata,JM Road,4.2,2070,1600,"['North Indian', 'Chinese', 'Mexican', 'Italian']"
Reddy's Restaurant,Karve Nagar,4,422,700,"['North Indian', 'Chinese', 'Mughlai']"
Guru Sawants's Malwan Katta,Karve Nagar,4.3,,500,['Malwani']
Tawa Street,Viman Nagar,4,1472,600,"['North Indian', 'Fast Food']"
Village - The Soul of India,Hadapsar,3.9,1312,1000,"['North Indian', 'Lucknowi', 'Gujarati', 'Maharashtrian', 'South Indian', 'Bengali']"
Jashn,Salunkhe Vihar Road,4.1,1482,950,"['North Indian', 'Mughlai', 'American', 'Italian', 'Asian']"
Apache High Street,Baner,4.3,3653,1100,"['Finger Food', 'Continental', 'Salad']"
Farmaaish Lounge & Bar,Viman Nagar,4,570,1200,"['Continental', 'Asian', 'North Indian', 'European']"
Fish Curry Rice,Law College Road,4.4,941,1200,"['Seafood', 'Goan', 'Malwani', 'Maharashtrian']"
Krave - Kitchen & Bar,Pimple Nilakh,4,,1500,"['North Indian', 'Continental', 'European']"
Pide Turkish Cafe,FC Road,4.2,,500,"['Turkish', 'Beverages']"
Rajdhani,Viman Nagar,3.8,1315,800,"['Rajasthani', 'Gujarati', 'North Indian']"
Raju Uncle's Chole Bhature,Katraj,4.2,708,200,['North Indian']
Bacharika- Rooftop Bar And Kitchen,Kothrud,0,0,1000,"['Chinese', 'North Indian', 'Continental', 'Middle Eastern', 'European']"
Sujata Mastani,Sadashiv Peth,4.4,584,200,"['Ice Cream', 'Beverages']"
Italy Via Punjab,Baner,4.1,510,800,"['Italian', 'North Indian']"
TNG - The Natty & Groovy,Koregaon Park,0,0,1400,"['Continental', 'Chinese', 'Finger Food', 'North Indian', 'Beverages']"
Portico - Sayaji Hotel,Wakad,4.4,1118,1400,"['North Indian', 'Asian', 'European', 'Salad']"
360 Degree - The Lounge,JM Road,3.6,156,1400,"['North Indian', 'Continental', 'Asian', 'Mughlai']"
Desi Dhaba,Hinjawadi,4.2,414,300,['North Indian']
The K Factory,Baner,4.3,3710,2000,"['Continental', 'Italian', 'North Indian', 'Desserts', 'Salad', 'Charcoal Chicken', 'Biryani', 'Beverages']"
Playboy Beer Garden,Koregaon Park,3.8,212,1800,"['American', 'Chinese', 'North Indian']"
Turque - Sayaji Hotel,Wakad,4.5,1188,1700,"['Asian', 'Mughlai', 'North Indian', 'Salad']"
Murphies,Koregaon Park,4.2,1344,1300,"['Salad', 'European', 'Steak', 'Healthy Food', 'Beverages', 'Finger Food', 'Continental']"
Onesta,Hadapsar,4.7,3296,700,"['Pizza', 'Italian', 'Fast Food', 'Desserts']"
Cafe Kathaa,FC Road,4.2,311,700,"['Cafe', 'Continental', 'Beverages']"
Rangla Punjab,Pashan,3.8,1702,800,"['North Indian', 'Lucknowi', 'Beverages']"
Abhishek Veg Restaurant,Erandwane,4,1141,600,"['South Indian', 'North Indian', 'Street Food', 'Fast Food', 'Chinese']"
Sentosa MultiCuisine Restaurant,Ravet,4.6,1474,1400,"['North Indian', 'Chinese', 'Mughlai', 'Continental']"
Dhaba Estd 1986 Delhi,Senapati Bapat Road,4.4,1535,1800,['North Indian']
Mapro Garden,Lonavala,4.4,201,800,"['Desserts', 'Fast Food', 'Pizza', 'Sandwich']"
Frozen Monkey,Hinjawadi,4.5,2773,1300,"['Continental', 'Italian', 'North Indian', 'Finger Food', 'Asian']"
Coriander Kitchen - Conrad Pune,Bund Garden Road,4.3,521,3200,"['North Indian', 'Asian', 'Mediterranean']"
Backstage,Viman Nagar,3.9,749,1250,"['North Indian', 'Chinese', 'Continental']"
Huber & Holly,Koregaon Park,4.7,382,1000,"['Ice Cream', 'Desserts', 'Fast Food', 'Pizza']"
Vice Versa,Shivaji Nagar,4.4,,950,"['Cafe', 'Italian', 'Continental', 'Desserts']"
The Daily All Day,Koregaon Park,4.4,847,2000,"['European', 'Asian', 'Continental', 'Italian']"
Mocha,Koregaon Park,4.4,2014,1000,"['Cafe', 'Continental', 'European', 'Salad', 'Asian']"
Starbucks Coffee,FC Road,4.4,770,700,"['Cafe', 'Coffee', 'Tea', 'Desserts']"
Pakwan - The Food Tradition,Pimple Saudagar,4.2,,500,"['North Indian', 'Rajasthani', 'Gujarati']"
Beto's,NIBM Road,4.4,875,2100,"['North Indian', 'Continental', 'Italian', 'Chinese', 'Seafood']"
Tiranga Bhuvan Kothrud,Kothrud,4,1146,800,"['Maharashtrian', 'North Indian', 'Biryani']"
Thalasso,Bhugaon,0,0,1000,"['Maharashtrian', 'Bar Food']"
Pune Baking Company - JW Marriott Pune,Senapati Bapat Road,4.5,1278,700,"['Desserts', 'Cafe', 'Bakery']"
Pizza Hut,Viman Nagar,2.9,265,600,"['Pizza', 'Italian', 'Fast Food']"
CAFE PETER,Shivaji Nagar,4,605,900,"['Cafe', 'Desserts', 'Fast Food']"
Karolbaug The Dhaba,Hinjawadi,3.9,1156,900,"['North Indian', 'Mughlai', 'Chinese']"
The Kinara Village Dhaba,Lonavala,3.9,1831,1200,"['North Indian', 'Fast Food', 'Chinese', 'Mughlai', 'Beverages']"
1000 Oaks,East Street,4.1,1883,2200,"['North Indian', 'Mughlai', 'Salad']"
Botanica The Green House Bar,Bund Garden Road,4.1,322,1400,"['Asian', 'North Indian', 'Finger Food', 'Italian']"
Savya Rasa,Koregaon Park,4.6,1215,2100,"['South Indian', 'Mangalorean', 'Kerala', 'Chettinad']"
Shriniwas Veg,Viman Nagar,4,409,1000,"['North Indian', 'South Indian', 'Fast Food', 'Chinese']"
The Burger Barn Cafe,Shivaji Nagar,3.9,2185,800,"['Burger', 'Fast Food']"
Shahi Bhoj Thali Restaurant,Shivaji Nagar,4.5,,500,"['North Indian', 'Maharashtrian', 'Rajasthani']"
Shahi Bhoj Thali Restaurant,Shivaji Nagar,4.5,,500,"['North Indian', 'Maharashtrian', 'Rajasthani']"
Pub Le City,Hadapsar,4.5,1365,1800,"['Italian', 'North Indian', 'Chinese']"
The Tasty Tiffin,Baner,4,,400,"['North Indian', 'Chinese', 'Biryani']"
Copa Cabana,Pimple Nilakh,4.1,3674,1600,"['Chinese', 'Continental', 'Salad', 'Mexican', 'Italian', 'North Indian', 'Desserts']"
द Vege टेबल,FC Road,4.1,1021,1000,"['North Indian', 'Continental', 'Italian']"
Pink Turbann,Aundh,4.1,618,350,"['North Indian', 'Fast Food']"
Falahaar,Baner,4.3,1772,600,"['Fast Food', 'Street Food', 'Beverages', 'Juices']"
Parsi Dhaba,Lonavala,4.5,813,1600,"['Parsi', 'North Indian']"
Vernekar's Goan Fish Curry,Karve Nagar,4.2,140,400,['Goan']
Lager Street - Lounge and Bar,Balewadi,4,,1500,"['Bar Food', 'Continental', 'Italian', 'North Indian']"
Mineority By Saby,Kalyani Nagar,4.2,1959,1000,"['North Indian', 'North Eastern', 'Continental', 'Asian']"
George Restaurant,East Street,4,2696,800,"['North Indian', 'Chinese', 'Biryani']"
Citrus Cafe - Lemon Tree Hotel,Hinjawadi,4.2,1086,1600,"['North Indian', 'South Indian', 'Italian', 'Asian', 'Continental']"
Over The Top - Radisson Blu,Hinjawadi,4.5,843,1600,"['Continental', 'North Indian', 'Asian', 'Bar Food']"
Chini Chor,Kharadi,3.8,84,250,"['Mithai', 'Street Food', 'South Indian']"
Fish On Dish,Wakad,3.7,113,500,['Mangalorean']
Flute,Wakad,4,224,700,"['Chinese', 'Continental', 'North Indian']"
Raaga Imperio,Dange Chowk,4.2,,1700,"['North Indian', 'Chinese', 'Continental', 'Seafood', 'Desserts']"
Hoppipola,Kalyani Nagar,4.5,117,1600,"['Finger Food', 'Italian', 'Chinese', 'Modern Indian']"
Chianti,Viman Nagar,4.7,,1400,"['Italian', 'Pizza']"
